CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,CITY,STATE,COUNTRY,SOURCE_FILE_NAME,LOAD_TIMESTAMP,BATCH_ID
1001,Rahul,Singh,rahul.singh@gmail.com,Ghaziabad,Uttar Pradesh,India,customer_master_150926_0947.csv,15-09-2026 09:00,BATCH_20260915_001
1002,Amit,Kumar,amit.kumar@gmail.com,Delhi,Delhi,India,customer_master_150926_0947.csv,15-09-2026 09:00,BATCH_20260915_001
1003,Priya,Sharma,priya.sharma@gmail.com,Jaipur,Rajasthan,India,customer_master_150926_0947.csv,15-09-2026 09:00,BATCH_20260915_001
1004,Neha,Verma,neha.verma@gmail.com,Lucknow,Uttar Pradesh,India,customer_master_150926_0947.csv,15-09-2026 09:00,BATCH_20260915_001
1005,Rohit,Gupta,rohit.gupta@gmail.com,Noida,Uttar Pradesh,India,customer_master_150926_0947.csv,15-09-2026 09:00,BATCH_20260915_001
1006,Anjali,Mehta,anjali.mehta@gmail.com,Mumbai,Maharashtra,India,customer_master_150926_0947.csv,15-09-2026 09:00,BATCH_20260915_001
1007,Vikas,Patel,vikas.patel@gmail.com,Ahmedabad,Gujarat,India,customer_master_150926_0947.csv,15-09-2026 09:00,BATCH_20260915_001
1008,Pooja,Reddy,pooja.reddy@gmail.com,Hyderabad,Telangana,India,customer_master_150926_0947.csv,15-09-2026 09:00,BATCH_20260915_001
1009,Arjun,Malhotra,arjun.malhotra@gmail.com,Bengaluru,Karnataka,India,customer_master_150926_0947.csv,15-09-2026 09:00,BATCH_20260915_001
1010,Kavita,Joshi,kavita.joshi@gmail.com,Pune,Maharashtra,India,customer_master_150926_0947.csv,15-09-2026 09:00,BATCH_20260915_001
